HS2,HS_Desc,Industry_Group
01,Animals; live,Nông - Thủy sản
02,Meat and edible meat offal,Nông - Thủy sản
03,"Fish and crustaceans, molluscs and other aquatic invertebrates",Nông - Thủy sản
04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",Nông - Thủy sản
05,Animal originated products; not elsewhere specified or included,Nông - Thủy sản
06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",Nông - Thủy sản
07,Vegetables and certain roots and tubers; edible,Nông - Thủy sản
08,"Fruit and nuts, edible; peel of citrus fruit or melons",Nông - Thủy sản
09,"Coffee, tea, mate and spices",Nông - Thủy sản
10,Cereals,Nông - Thủy sản
11,"Products of the milling industry; malt, starches, inulin, wheat gluten",Nông - Thủy sản
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",Nông - Thủy sản
13,"Lac; gums, resins and other vegetable saps and extracts",Nông - Thủy sản
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,Nông - Thủy sản
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",Thực phẩm chế biến
16,"Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof",Thực phẩm chế biến
17,Sugars and sugar confectionery,Thực phẩm chế biến
18,Cocoa and cocoa preparations,Thực phẩm chế biến
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",Thực phẩm chế biến
20,"Preparations of vegetables, fruit, nuts or other parts of plants",Thực phẩm chế biến
21,Miscellaneous edible preparations,Thực phẩm chế biến
22,"Beverages, spirits and vinegar",Thực phẩm chế biến
23,"Food industries, residues and wastes thereof; prepared animal fodder",Thực phẩm chế biến
24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",Thực phẩm chế biến
25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",Khoáng sản & Năng lượng
26,"Ores, slag and ash",Khoáng sản & Năng lượng
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",Khoáng sản & Năng lượng
28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",Hóa chất & Nhựa
29,Organic chemicals,Hóa chất & Nhựa
30,Pharmaceutical products,Hóa chất & Nhựa
