Year,Industry_Group,Group_Export_M,Export_Share_%
2019,Dệt may - Da giày,62941.11,23.79
2019,Dụng cụ & Thiết bị chuyên dụng,5354.53,2.02
2019,Gỗ - Giấy - Nội thất,14100.43,5.33
2019,Hàng tiêu dùng,2839.08,1.07
2019,Hóa chất & Nhựa,13356.34,5.05
2019,Khoáng sản & Năng lượng,5502.88,2.08
2019,Khác,4476.11,1.69
2019,Kim loại,13619.39,5.15
2019,Máy móc - Điện tử,110250.82,41.67
2019,Nông - Thủy sản,19886.73,7.52
2019,Phương tiện vận tải,4163.92,1.57
2019,Thực phẩm chế biến,6197.05,2.34
2019,Đá - Thủy tinh - VL xây dựng,1921.92,0.73
2020,Dệt may - Da giày,58028.95,20.62
2020,Dụng cụ & Thiết bị chuyên dụng,3626.22,1.29
2020,Gỗ - Giấy - Nội thất,16895.62,6.0
2020,Hàng tiêu dùng,3800.66,1.35
2020,Hóa chất & Nhựa,14324.47,5.09
2020,Khoáng sản & Năng lượng,4578.45,1.63
2020,Khác,2892.98,1.03
2020,Kim loại,15288.54,5.43
2020,Máy móc - Điện tử,129508.87,46.02
2020,Nông - Thủy sản,19061.74,6.77
2020,Phương tiện vận tải,4564.5,1.62
2020,Thực phẩm chế biến,6803.41,2.42
2020,Đá - Thủy tinh - VL xây dựng,2067.03,0.73
2021,Dệt may - Da giày,63226.15,18.83
2021,Dụng cụ & Thiết bị chuyên dụng,4021.89,1.2
2021,Gỗ - Giấy - Nội thất,20094.54,5.98
2021,Hàng tiêu dùng,4013.4,1.2
2021,Hóa chất & Nhựa,19456.68,5.79
2021,Khoáng sản & Năng lượng,5419.09,1.61
2021,Khác,4917.12,1.46
2021,Kim loại,22554.9,6.72
2021,Máy móc - Điện tử,155487.32,46.3
2021,Nông - Thủy sản,21052.56,6.27
2021,Phương tiện vận tải,5298.01,1.58
2021,Thực phẩm chế biến,7608.52,2.27
2021,Đá - Thủy tinh - VL xây dựng,2642.42,0.79
2022,Dệt may - Da giày,74776.33,20.16
2022,Dụng cụ & Thiết bị chuyên dụng,4154.21,1.12
2022,Gỗ - Giấy - Nội thất,21685.08,5.85
2022,Hàng tiêu dùng,5365.32,1.45
2022,Hóa chất & Nhựa,22015.7,5.94
2022,Khoáng sản & Năng lượng,6083.52,1.64
2022,Khác,5711.76,1.54
2022,Kim loại,20768.27,5.6
2022,Máy móc - Điện tử,169847.18,45.79
2022,Nông - Thủy sản,23034.43,6.21
2022,Phương tiện vận tải,6278.58,1.69
2022,Thực phẩm chế biến,8816.17,2.38
2022,Đá - Thủy tinh - VL xây dựng,2372.61,0.64
2023,Dệt may - Da giày,65513.73,18.56
2023,Dụng cụ & Thiết bị chuyên dụng,4640.97,1.31
2023,Gỗ - Giấy - Nội thất,19254.91,5.45
2023,Hàng tiêu dùng,4707.08,1.33
2023,Hóa chất & Nhựa,20159.42,5.71
2023,Khoáng sản & Năng lượng,5041.97,1.43
2023,Khác,5985.41,1.7
2023,Kim loại,19463.72,5.51
2023,Máy móc - Điện tử,164951.12,46.72
2023,Nông - Thủy sản,25400.55,7.19
2023,Phương tiện vận tải,6756.67,1.91
2023,Thực phẩm chế biến,9066.07,2.57
2023,Đá - Thủy tinh - VL xây dựng,2135.9,0.6
