Year,HS2,YoY_Growth_%,Total_Export_Value_M,Export_Share_%
2019,01,,12.16,0.0
2020,01,-42.39,7.0,0.0
2021,01,91.9,13.44,0.0
2022,01,26.08,16.94,0.0
2023,01,189.47,49.04,0.01
2019,02,,124.71,0.05
2020,02,-44.94,68.66,0.02
2021,02,17.61,80.75,0.02
2022,02,3.6,83.66,0.02
2023,02,27.62,106.77,0.03
2019,03,,6205.15,2.35
2020,03,-7.0,5771.04,2.05
2021,03,9.25,6304.92,1.88
2022,03,26.55,7979.12,2.15
2023,03,-19.0,6463.38,1.83
2019,04,,153.99,0.06
2020,04,13.91,175.41,0.06
2021,04,15.92,203.33,0.06
2022,04,-13.61,175.65,0.05
2023,04,7.41,188.66,0.05
2019,05,,97.81,0.04
2020,05,-25.02,73.34,0.03
2021,05,46.83,107.68,0.03
2022,05,9.23,117.62,0.03
2023,05,-23.68,89.77,0.03
2019,06,,82.04,0.03
2020,06,-4.01,78.75,0.03
2021,06,19.22,93.88,0.03
2022,06,5.93,99.45,0.03
2023,06,4.8,104.23,0.03
2019,07,,365.35,0.14
2020,07,13.19,413.54,0.15
2021,07,17.61,486.37,0.14
2022,07,-4.14,466.24,0.13
2023,07,8.98,508.09,0.14
2019,08,,5713.26,2.16
2020,08,-10.95,5087.84,1.81
2021,08,8.19,5504.66,1.64
2022,08,-16.04,4621.46,1.25
2023,08,51.86,7018.36,1.99
2019,09,,3402.33,1.29
2020,09,-6.94,3166.06,1.12
2021,09,17.45,3718.53,1.11
2022,09,21.58,4521.04,1.22
2023,09,2.96,4654.92,1.32
2019,10,,2498.63,0.94
2020,10,17.28,2930.51,1.04
2021,10,5.94,3104.73,0.92
2022,10,4.9,3256.9,0.88
2023,10,38.5,4510.9,1.28
2019,11,,985.0,0.37
2020,11,0.39,988.86,0.35
2021,11,9.57,1083.53,0.32
2022,11,25.49,1359.7,0.37
2023,11,-7.18,1262.08,0.36
2019,12,,152.41,0.06
2020,12,35.96,207.22,0.07
2021,12,21.06,250.87,0.07
2022,12,-14.59,214.28,0.06
2023,12,48.29,317.76,0.09
2019,13,,69.48,0.03
2020,13,-9.88,62.61,0.02
2021,13,14.46,71.67,0.02
2022,13,14.33,81.94,0.02
2023,13,15.81,94.89,0.03
2019,14,,24.42,0.01
2020,14,26.49,30.89,0.01
2021,14,-8.71,28.2,0.01
2022,14,43.36,40.43,0.01
2023,14,-21.64,31.68,0.01
2019,15,,197.01,0.07
2020,15,26.14,248.51,0.09
2021,15,66.87,414.67,0.12
2022,15,70.83,708.4,0.19
2023,15,-12.82,617.6,0.17
2019,16,,2225.79,0.84
2020,16,12.88,2512.42,0.89
2021,16,-0.61,2496.99,0.74
2022,16,12.86,2818.18,0.76
2023,16,-14.88,2398.92,0.68
2019,17,,127.68,0.05
2020,17,57.64,201.28,0.07
2021,17,-28.34,144.23,0.04
2022,17,33.13,192.01,0.05
2023,17,39.82,268.46,0.08
2019,18,,24.74,0.01
2020,18,-8.82,22.56,0.01
2021,18,22.58,27.65,0.01
2022,18,14.6,31.69,0.01
2023,18,17.84,37.34,0.01
2019,19,,724.26,0.27
2020,19,7.75,780.37,0.28
2021,19,2.92,803.15,0.24
2022,19,17.29,942.02,0.25
2023,19,2.99,970.22,0.27
2019,20,,805.01,0.3
2020,20,15.5,929.79,0.33
2021,20,27.64,1186.79,0.35
2022,20,13.29,1344.54,0.36
2023,20,24.45,1673.21,0.47
2019,21,,765.27,0.29
2020,21,9.39,837.13,0.3
2021,21,12.55,942.15,0.28
2022,21,18.61,1117.52,0.3
2023,21,8.73,1215.06,0.34
2019,22,,293.63,0.11
2020,22,-16.38,245.52,0.09
2021,22,13.04,277.54,0.08
2022,22,25.93,349.51,0.09
2023,22,7.69,376.4,0.11
2019,23,,680.77,0.26
2020,23,16.6,793.77,0.28
2021,23,38.99,1103.27,0.33
2022,23,0.82,1112.33,0.3
2023,23,7.26,1193.14,0.34
2019,24,,352.88,0.13
2020,24,-34.24,232.07,0.08
2021,24,-8.61,212.09,0.06
2022,24,-5.71,199.97,0.05
2023,24,57.88,315.71,0.09
2019,25,,1743.14,0.66
2020,25,1.72,1773.14,0.63
2021,25,13.52,2012.83,0.6
2022,25,-16.83,1674.02,0.45
2023,25,-6.39,1567.01,0.44
2019,26,,111.27,0.04
2020,26,19.8,133.3,0.05
2021,26,-14.77,113.6,0.03
2022,26,-30.28,79.21,0.02
2023,26,35.71,107.5,0.03
2019,27,,3648.47,1.38
2020,27,-26.76,2672.02,0.95
2021,27,23.23,3292.66,0.98
2022,27,31.51,4330.29,1.17
2023,27,-22.23,3367.46,0.95
2019,28,,1094.58,0.41
2020,28,-3.47,1056.6,0.38
2021,28,45.68,1539.24,0.46
2022,28,27.12,1956.75,0.53
2023,28,-22.8,1510.61,0.43
2019,29,,626.8,0.24
2020,29,-7.26,581.29,0.21
2021,29,28.66,747.91,0.22
2022,29,15.76,865.77,0.23
2023,29,-13.83,746.04,0.21
2019,30,,185.99,0.07
2020,30,10.86,206.2,0.07
2021,30,-15.59,174.05,0.05
2022,30,50.13,261.3,0.07
2023,30,-1.01,258.65,0.07
2019,31,,255.12,0.1
2020,31,28.9,328.85,0.12
2021,31,66.99,549.16,0.16
2022,31,96.35,1078.26,0.29
2023,31,-42.79,616.86,0.17
2019,32,,135.23,0.05
2020,32,13.37,153.31,0.05
2021,32,42.23,218.06,0.06
2022,32,8.75,237.15,0.06
2023,32,-9.74,214.05,0.06
2019,33,,345.42,0.13
2020,33,-6.11,324.32,0.12
2021,33,-6.77,302.38,0.09
2022,33,1.19,305.99,0.08
2023,33,4.03,318.31,0.09
2019,34,,549.88,0.21
2020,34,24.89,686.72,0.24
2021,34,35.31,929.23,0.28
2022,34,-9.39,841.94,0.23
2023,34,-7.9,775.46,0.22
2019,35,,185.58,0.07
2020,35,2.57,190.35,0.07
2021,35,36.36,259.57,0.08
2022,35,32.88,344.92,0.09
2023,35,-9.28,312.91,0.09
2019,36,,1.9,0.0
2020,36,24.32,2.37,0.0
2021,36,-30.51,1.64,0.0
2022,36,53.68,2.53,0.0
2023,36,101.6,5.09,0.0
2019,37,,1.74,0.0
2020,37,-14.81,1.49,0.0
2021,37,-79.4,0.31,0.0
2022,37,102.75,0.62,0.0
2023,37,15.1,0.71,0.0
2019,38,,868.67,0.33
2020,38,9.03,947.11,0.34
2021,38,37.09,1298.42,0.39
2022,38,28.15,1663.88,0.45
2023,38,0.19,1667.02,0.47
2019,39,,4842.1,1.83
2020,39,6.59,5161.18,1.83
2021,39,41.39,7297.44,2.17
2022,39,8.85,7943.02,2.14
2023,39,-6.47,7429.23,2.1
2019,40,,4263.33,1.61
2020,40,9.88,4684.68,1.66
2021,40,31.05,6139.29,1.83
2022,40,6.1,6513.59,1.76
2023,40,-3.21,6304.48,1.79
2019,41,,457.27,0.17
2020,41,-28.58,326.58,0.12
2021,41,26.78,414.03,0.12
2022,41,1.55,420.46,0.11
2023,41,-7.78,387.77,0.11
2019,42,,3458.04,1.31
2020,42,-18.53,2817.1,1.0
2021,42,-6.67,2629.29,0.78
2022,42,33.2,3502.19,0.94
2023,42,-7.91,3225.15,0.91
2019,43,,70.71,0.03
2020,43,-98.21,1.26,0.0
2021,43,500.0,24.64,0.01
2022,43,-81.95,4.45,0.0
2023,43,-1.42,4.38,0.0
2019,44,,3455.43,1.31
2020,44,1.41,3504.26,1.25
2021,44,30.05,4557.38,1.36
2022,44,28.34,5848.97,1.58
2023,44,-13.27,5072.87,1.44
2019,45,,0.35,0.0
2020,45,155.86,0.9,0.0
2021,45,71.31,1.54,0.0
2022,45,-6.69,1.44,0.0
2023,45,12.29,1.62,0.0
2019,46,,280.81,0.11
2020,46,7.6,302.15,0.11
2021,46,45.96,441.02,0.13
2022,46,-14.25,378.18,0.1
2023,46,-14.59,323.01,0.09
2019,47,,19.7,0.01
2020,47,-14.02,16.94,0.01
2021,47,-50.46,8.39,0.0
2022,47,327.11,35.85,0.01
2023,47,-45.92,19.39,0.01
2019,48,,1137.71,0.43
2020,48,22.39,1392.39,0.49
2021,48,21.76,1695.36,0.5
2022,48,12.0,1898.81,0.51
2023,48,9.85,2085.77,0.59
2019,49,,86.83,0.03
2020,49,9.69,95.25,0.03
2021,49,23.72,117.84,0.04
2022,49,6.54,125.55,0.03
2023,49,6.58,133.81,0.04
2019,50,,108.79,0.04
2020,50,-31.51,74.51,0.03
2021,50,50.1,111.84,0.03
2022,50,28.08,143.24,0.04
2023,50,6.79,152.96,0.04
2019,51,,6.8,0.0
2020,51,160.96,17.74,0.01
2021,51,37.15,24.33,0.01
2022,51,13.02,27.5,0.01
2023,51,22.95,33.81,0.01
2019,52,,3055.1,1.15
2020,52,-11.38,2707.57,0.96
2021,52,41.75,3837.92,1.14
2022,52,-13.93,3303.36,0.89
2023,52,-7.75,3047.33,0.86
2019,53,,35.63,0.01
2020,53,-14.77,30.37,0.01
2021,53,-3.78,29.22,0.01
2022,53,-1.19,28.88,0.01
2023,53,28.08,36.99,0.01
2019,54,,1132.71,0.43
2020,54,-13.49,979.96,0.35
2021,54,82.52,1788.59,0.53
2022,54,-13.12,1553.87,0.42
2023,54,-13.04,1351.3,0.38
2019,55,,649.47,0.25
2020,55,-19.62,522.07,0.19
2021,55,17.33,612.54,0.18
2022,55,6.26,650.9,0.18
2023,55,-2.07,637.41,0.18
