Industry_Group,Avg_Export_M,YoY_Std,Quadrant
Dệt may - Da giày,64897.26,14.33,Q1: Chiến lược (lớn – ổn định)
Dụng cụ & Thiết bị chuyên dụng,4359.56,20.81,Q4: Rủi ro (nhỏ – biến động)
Gỗ - Giấy - Nội thất,18406.11,14.44,Q1: Chiến lược (lớn – ổn định)
Hàng tiêu dùng,4145.11,22.63,Q4: Rủi ro (nhỏ – biến động)
Hóa chất & Nhựa,17862.52,18.34,Q2: Quan sát (lớn – biến động)
Khoáng sản & Năng lượng,5325.18,18.8,Q4: Rủi ro (nhỏ – biến động)
Khác,4796.68,43.43,Q4: Rủi ro (nhỏ – biến động)
Kim loại,18338.96,25.77,Q2: Quan sát (lớn – biến động)
Máy móc - Điện tử,146009.06,10.32,Q1: Chiến lược (lớn – ổn định)
Nông - Thủy sản,21687.2,7.11,Q1: Chiến lược (lớn – ổn định)
Phương tiện vận tải,5412.34,5.17,Q3: Ổn định nhỏ (nhỏ – ổn định)
Thực phẩm chế biến,7698.24,5.45,Q1: Chiến lược (lớn – ổn định)
Đá - Thủy tinh - VL xây dựng,2227.98,18.05,Q4: Rủi ro (nhỏ – biến động)
